speech_id,date,title,tone_mean,tone_median,pos_share,neg_share,neu_share,n_sent,label_majority
149,2016-11-23,A Tale of Tail Events,-0.5226748830488417,-0.5107457637786865,0.0,1.0,0.0,102.0,negative
150,2016-11-23,A Decade of Search for Inspiring Leadership in the Financial Sector,-0.5111992609015,-0.506424069404602,0.0,1.0,0.0,65.0,negative
151,2016-11-21,A Vision for Resilience and Growth,-0.5209945367433454,-0.5148703455924988,0.0,1.0,0.0,96.0,negative
152,2016-09-30,Consumer Protection: A Shared Responsibility,-0.5117153069437993,-0.5100306272506714,0.0,1.0,0.0,40.0,negative
153,2016-09-30,Collaborative Undertaking In Pursuit of Financial Stability,-0.5158599109235813,-0.5039476752281189,0.0,1.0,0.0,43.0,negative
154,2016-09-29,Sound Macrofundamentals - A Steady Anchor,-0.5324560277503176,-0.524418830871582,0.0,1.0,0.0,69.0,negative
155,2016-09-22,"Alpha, Beta, Gamma: Measured Risk-Taking and Dynamism Amidst Challenging Times",-0.5243725815149308,-0.5188138484954834,0.0,1.0,0.0,119.0,negative
156,2016-09-21,Macro-Financial Linkages: Looking Back to Look Ahead,-0.4988492277315699,-0.4925040006637573,0.0,1.0,0.0,79.0,negative
157,2016-09-06,Sustaining Relative Strength in a Dynamic Environment,-0.5340839155351174,-0.5261397361755371,0.0,1.0,0.0,79.0,negative
158,2016-08-30,"Building on progress, Bringing in changes",-0.5357319046766218,-0.5299614667892456,0.0,1.0,0.0,98.0,negative
159,2016-08-16,Anchoring Confidence in an Era of Radical Uncertainty,-0.5300579399379606,-0.5122116804122925,0.0,1.0,0.0,83.0,negative
160,2016-07-21,"Asset Management Growth: Recognizing Success and Managing Black Swans, Elephants in the room and Grey Rhinos",-0.49615891667793266,-0.4932304620742798,0.0,1.0,0.0,53.0,negative
161,2016-07-15,Leveraging Capabilities and Synergies for Banking Excellence,-0.5012120382624422,-0.49895599484443665,0.0,1.0,0.0,72.0,negative
162,2016-07-14,"ASEAN Integration, Change and Collaboration",-0.5088674418270328,-0.5033262968063354,0.0,1.0,0.0,86.0,negative
163,2016-07-13,Great Significance and Consequences,-0.5208015928354784,-0.5165051221847534,0.0,1.0,0.0,61.0,negative
164,2016-07-12,Pursuing Financial Stability Thru Innovations In Cheque Clearing and Settlement,-0.5062228613328296,-0.49277472496032715,0.0,1.0,0.0,54.0,negative
165,2016-07-05,A Culture of Inquiry and Evidence,-0.5046016874825907,-0.4997563362121582,0.0,1.0,0.0,62.0,negative
166,2016-06-03,Mainstreaming Financial Inclusion as a Strategic Objective,-0.5062883343266918,-0.49985864758491516,0.0,1.0,0.0,101.0,negative
167,2016-05-23,Rural Banks: Making a Difference in Financial Inclusion,-0.5188090731839933,-0.5095908641815186,0.0,1.0,0.0,83.0,negative
168,2016-05-17,Keynote Message,-0.504477579852004,-0.4986528158187866,0.0,1.0,0.0,46.0,negative
169,2016-05-16,Strengthening the Monetary Transmission Mechanism through the BSP's Interest Rate Corridor System,-0.5087682702793118,-0.5006186962127686,0.0,1.0,0.0,41.0,negative
170,2016-04-28,Building Inclusive Growth for Migrant Workers through Multi-Sectoral Partnerships,-0.5157316480321114,-0.5063342452049255,0.0,1.0,0.0,64.0,negative
171,2016-04-11,National Strategy for Financial Inclusion Tactical Plans: Working Together with the Private Sector,-0.4995470774390608,-0.4958772659301758,0.0,1.0,0.0,54.0,negative
172,2016-03-18,Sustaining the Momentum for Inclusive Growth,-0.518981982717578,-0.5135673880577087,0.0,1.0,0.0,87.0,negative
173,2016-03-18,"Tapping Into Our Strengths: Opportunities, Threats and Challenges for 2016 and Beyond in the Philippines and Asia",-0.520465124618536,-0.5138847827911377,0.0,1.0,0.0,100.0,negative
174,2016-02-23,Philippines in 2016: Sustaining Resilience Amid Headwinds,-0.5169432886747647,-0.511760950088501,0.0,1.0,0.0,175.0,negative
