window_scheme,horizon_h,model,tone_spec,n_common,MSFE_none,MSFE_tone,MSFE_gain,CW_stat,CW_p_one_sided,DM_stat,DM_p_two_sided
rolling,4,Ridge,NEG,47,0.48328519183447605,0.4837683330489223,-0.0004831412144462588,0.02106655747459833,0.4915962811203275,-0.11761984354416567,0.9063688812123163
rolling,4,Ridge,POSNEG,47,0.48328519183447605,0.48042628384533137,0.0028589079891446767,0.6904484545946256,0.24495610717185623,0.09124478768410002,0.9272980879307737
rolling,4,Ridge,ToneMean,47,0.48328519183447605,0.45686016647984784,0.026425025354628207,1.7883150619543622,0.03686259558323246,1.6026349844431673,0.10901526521870775
rolling,4,SVR,NEG,47,0.4171181918304541,0.46655035839610615,-0.049432166565652025,-1.2131066942363913,0.8874554845318688,-1.6607344199540486,0.0967667972988433
rolling,4,SVR,POSNEG,47,0.4171181918304541,0.5442589272041827,-0.12714073537372855,-1.255236332680768,0.8953035101217517,-1.4664540560538444,0.1425246290104487
rolling,4,SVR,ToneMean,47,0.4171181918304541,0.4586084961691351,-0.041490304338681006,-0.6787726874319921,0.7513590490042374,-0.9809426923047255,0.3266210027883514
rolling,5,ElasticNet,NEG,46,0.4808127984538359,0.48256184856485473,-0.001749050111018835,-0.16763328370479652,0.5665641074522433,-0.27072080183851543,0.7866057765019376
rolling,5,ElasticNet,POSNEG,46,0.4808127984538359,0.4721005754799084,0.008712222973927486,1.2801502480040308,0.10024614976954571,0.389721880694157,0.6967422148929394
rolling,5,ElasticNet,ToneMean,46,0.4808127984538359,0.452348229759554,0.028464568694281878,2.380105673532264,0.008653836962258299,2.2625785559603857,0.023661681266958112
rolling,5,Lasso,NEG,46,0.49810281152527836,0.5001539519976521,-0.002051140472373758,-0.28908919597121097,0.6137434394195298,-0.36614812082040443,0.7142545516666641
rolling,5,Lasso,POSNEG,46,0.49810281152527836,0.4885642119811028,0.009538599544175574,1.2554043422435415,0.10466600691968897,0.43297284974580796,0.6650344942252242
rolling,5,Lasso,ToneMean,46,0.49810281152527836,0.47103108041516195,0.027071731110116404,2.3090846532117317,0.01046944209910905,2.1807848564434003,0.02919933317274337
rolling,5,OLS,NEG,46,0.45674803434100186,0.45879994564508425,-0.0020519113040823878,-0.13459225501324962,0.5535328672546763,-0.27701191298885847,0.7817709587259187
rolling,5,OLS,POSNEG,46,0.45674803434100186,0.45110449873566066,0.005643535605341199,1.2101402148817855,0.11311254707709084,0.25469476429267224,0.7989588604100981
rolling,5,OLS,ToneMean,46,0.45674803434100186,0.4282527673673192,0.028495266973682654,2.407278007903776,0.008035964994091538,2.284258490969659,0.022356343847289795
rolling,5,Ridge,NEG,46,0.470347187371135,0.4724345072587468,-0.0020873198876117938,-0.143078626725242,0.5568859576707246,-0.2872316052815071,0.7739349879198645
rolling,5,Ridge,POSNEG,46,0.470347187371135,0.4632596292003124,0.007087558170822628,1.2513530431635036,0.10540285051583409,0.3088151090223489,0.7574621752055308
